VideoId,LabelConfidencePairs
../videos/TcgDCtgnm1o.mp4,308 0.230657 71 0.0374279 2 0.031828 16 0.0284322 50 0.019054 7 0.0183089 39 0.0154787 1782 0.0142305 1095 0.0133895 146 0.0118081 1 0.0111353 65 0.0105189 26 0.00857936 64 0.00691288 149 0.00572403 11 0.00540892 2269 0.00519424 25 0.00440617 1850 0.00424351 866 0.00398384
../videos/Ti4CzCmAyE0.mp4,11 0.493495 229 0.367308 315 0.235875 713 0.130178 1746 0.090386 1643 0.0735682 39 0.0451132 505 0.0314751 1017 0.0283812 2362 0.0278443 2216 0.0196944 749 0.0138933 1577 0.0131655 7 0.0117378 2 0.0117155 216 0.0108575 1 0.00867596 16 0.00607569 2545 0.00501015 707 0.00460422
../videos/TibNp6DN6vI.mp4,14 0.250593 1 0.0667948 16 0.0448288 48 0.0319165 2 0.0294647 315 0.0279901 1814 0.022788 7 0.0214408 0 0.0157783 268 0.0138914 8 0.00653877 891 0.00649469 146 0.00564684 3405 0.00477215 150 0.0042816 136 0.00418163 19 0.00416211 128 0.00394812 5 0.00342916 259 0.00342347
../videos/TibNp6DN6vI.webm,14 0.270254 1 0.071017 16 0.049272 48 0.0407876 268 0.0378156 2 0.0293698 7 0.0226144 0 0.0159741 1814 0.0157469 315 0.0120012 25 0.00885711 8 0.007984 146 0.00623048 19 0.00494764 150 0.00460787 64 0.00460724 891 0.00439602 149 0.00435679 623 0.00397481 136 0.00376859
../videos/Tp66DiwH-WA.mp4,148 0.820116 253 0.415326 66 0.362665 210 0.141587 271 0.0975628 1786 0.0335561 2 0.024624 7 0.0208424 2393 0.016039 3650 0.0153654 766 0.0140792 3276 0.012374 53 0.0115474 17 0.0101145 315 0.00692364 16 0.00676523 1273 0.00527959 68 0.00480435 3449 0.00470335 26 0.00441237
../videos/Tpls_DoLeF4.mp4,11 0.396244 341 0.106093 39 0.0663637 50 0.0515808 20 0.0420979 2 0.0265587 886 0.024693 22 0.0226858 579 0.0222561 7 0.0168957 1011 0.0162312 307 0.0144456 1069 0.0100858 315 0.0088867 16 0.00878931 150 0.0083646 65 0.00784906 866 0.00755812 1510 0.00749264 674 0.00735303
../videos/Tux68Q-1ciw.mp4,315 0.241088 903 0.217079 11 0.125559 25 0.0806794 16 0.0501503 505 0.0444546 1 0.0398755 0 0.0128399 2746 0.0125656 8 0.0103549 26 0.00439781 2 0.00423887 133 0.00415471 150 0.00398041 1110 0.0037524 441 0.00367649 39 0.00345887 7 0.00302179 15 0.00293238 391 0.00267815
../videos/Tvy0yT9vDiQ.mp4,148 0.976876 253 0.863549 271 0.714653 66 0.355426 1468 0.0626988 3471 0.0585103 3650 0.0512835 68 0.0188566 16 0.0121267 766 0.0121149 1273 0.0104028 210 0.00851498 2 0.00832472 3276 0.00737556 1786 0.00734781 7 0.00715748 1 0.00607235 231 0.00579883 8 0.0038912 498 0.00336772
../videos/TwJ3lEqliPo.mp4,2 0.563837 7 0.397309 315 0.0633728 1 0.0175111 469 0.0162735 145 0.0128249 2532 0.0126191 146 0.0113514 15 0.0100363 174 0.00947792 2268 0.00880904 26 0.0084073 903 0.00830729 16 0.00757645 505 0.0072013 11 0.00686552 197 0.00684613 361 0.0061746 104 0.0059944 2643 0.00583143
../videos/U0-V2ziv94Q.mp4,11 0.911118 229 0.406997 20 0.257445 1017 0.158702 1746 0.03339 1049 0.0311418 250 0.0310149 22 0.0278165 1643 0.0237437 2362 0.0207153 713 0.0183545 1 0.0183339 1577 0.0122771 2 0.0111865 7 0.00993611 1189 0.00675105 2216 0.00555224 1725 0.0053061 1107 0.00526777 2218 0.00417139
../videos/U1lUK7at1vE.webm,50 0.112857 2 0.100512 7 0.0651422 674 0.0650857 1493 0.0488833 579 0.0414952 315 0.0277846 866 0.024327 11 0.0230481 181 0.017267 191 0.0171995 39 0.0169018 15 0.013034 150 0.0128066 2276 0.0126398 66 0.0111138 661 0.00903531 16 0.0088263 1 0.00801727 2710 0.00784541
../videos/U3awWkK-x6k.mp4,25 0.600782 1 0.203119 0 0.0372141 16 0.0215046 189 0.0176332 337 0.00831973 1227 0.00780877 157 0.00761344 517 0.0074213 2 0.00615904 7 0.00522269 3287 0.00494199 183 0.00469037 192 0.00454163 105 0.00410532 707 0.00400372 3258 0.00398476 315 0.00349351 259 0.00345859 357 0.00318614
../videos/U48sSvGjUu0.mp4,15 0.226512 1 0.209895 96 0.0835537 0 0.0749581 769 0.0347567 8 0.0277809 509 0.0259371 289 0.0248763 9 0.0245353 4 0.0160247 2990 0.015424 146 0.0150679 60 0.013926 789 0.0131037 2 0.0103976 386 0.00841841 1110 0.00630484 428 0.00614789 69 0.00607325 18 0.00601612
../videos/U6HDts3YhUs.mp4,194 0.127189 11 0.0872063 441 0.0615752 2 0.040526 26 0.0377239 16 0.0341502 332 0.0272079 727 0.0231418 577 0.0229385 2269 0.0209608 146 0.0168265 744 0.0167981 8 0.0137451 9 0.0137115 7 0.0129923 66 0.0128526 1110 0.00953814 1 0.0089731 31 0.00891574 445 0.00863871
../videos/U6bIky0P8tM.mp4,291 0.190734 1 0.161077 25 0.131212 0 0.0597862 146 0.0440907 16 0.0329967 1133 0.023355 15 0.0142793 3081 0.011082 99 0.00794917 289 0.00614186 11 0.00563086 21 0.00513825 252 0.00503558 2297 0.00457812 3524 0.00429778 799 0.00424019 23 0.00418553 36 0.00417276 1706 0.00413609
../videos/U76REOjtmVQ.mp4,25 0.35598 189 0.106077 2 0.0477915 16 0.0438395 1 0.0395124 7 0.0296908 645 0.0289294 14 0.0133385 146 0.0104997 11 0.0102155 434 0.0097823 0 0.0076239 921 0.00685337 741 0.00658648 2065 0.00655332 2166 0.00605706 150 0.00557424 105 0.00514864 315 0.00485516 30 0.00483733
../videos/U9XxH9jrams.mp4,315 0.280337 15 0.044159 2 0.0372551 505 0.0286345 66 0.028208 11 0.0241192 7 0.0233961 146 0.022959 133 0.0185865 259 0.0147735 18 0.0144998 21 0.0102008 67 0.00999263 1110 0.00828598 106 0.00770944 1 0.00717587 275 0.00632777 16 0.00542775 26 0.00517086 39 0.00487368
../videos/UD-dQcz1Iqs.mp4,5 0.577758 16 0.385191 26 0.237863 526 0.0553012 903 0.0225729 136 0.0192922 1064 0.0148184 203 0.0122169 2124 0.0115178 527 0.00837787 0 0.00761552 315 0.00693006 11 0.00676553 1082 0.00616599 1 0.00540391 194 0.00523717 1493 0.00519403 1850 0.00512183 2050 0.0050202 15 0.00468988
../videos/UDJByehIJuQ.mp4,2 0.534245 7 0.493969 88 0.0704231 1771 0.0442093 1 0.0387119 26 0.0314689 315 0.0238519 1684 0.0213556 903 0.0209255 580 0.0203853 283 0.0165237 16 0.0150275 235 0.0148338 0 0.0142508 522 0.0139889 11 0.0101699 242 0.0100798 1252 0.00902783 198 0.00880916 313 0.00850099
../videos/UEY2Oz8TtrA.mp4,18 0.915946 67 0.91081 15 0.90742 2 0.327026 7 0.29701 1122 0.213813 140 0.184301 1954 0.154874 1 0.0234172 1434 0.0189312 170 0.0177547 149 0.0150571 699 0.0141213 64 0.00615735 104 0.00599529 235 0.00592792 315 0.00577601 0 0.00508296 17 0.00438264 2423 0.00415807
../videos/UKKO2wanFOk.mp4,69 0.0947298 11 0.050431 2342 0.0416154 2 0.0319243 15 0.0316063 8 0.0279461 248 0.0273887 1396 0.0239845 43 0.0220288 76 0.0156303 739 0.0150897 9 0.0144409 299 0.0115858 934 0.0102098 1 0.00975582 191 0.00896875 0 0.00870587 182 0.00837473 1251 0.00760685 2015 0.00733706
../videos/UMSOLzBxMRg.mp4,18 0.676739 67 0.61587 15 0.513563 140 0.110162 170 0.0703875 11 0.0679888 26 0.0579155 315 0.0384052 150 0.0245655 699 0.0238314 1 0.0187544 2 0.0175019 7 0.0155857 1533 0.0104 16 0.00740369 505 0.00564129 903 0.00543265 314 0.00396936 2533 0.00340721 0 0.00312656
../videos/UM__gzBJYrI.mp4,25 0.0470749 1 0.0453922 146 0.0400702 16 0.0368444 429 0.0233983 1095 0.0224673 2 0.019677 74 0.0196384 0 0.017966 1110 0.0160071 36 0.0145911 7 0.0131536 111 0.0111224 245 0.00947412 3538 0.0089856 895 0.00828762 21 0.00807363 1296 0.00674539 133 0.00661177 315 0.00616762
../videos/UMuHqF0nAiY.mp4,11 0.104301 5 0.0360739 15 0.0353519 315 0.0297284 2 0.0292833 7 0.0233577 1648 0.0226824 16 0.0221425 1443 0.0204671 505 0.0168312 8 0.0155989 441 0.013944 136 0.011369 2746 0.0100178 3438 0.00894204 3821 0.00885697 496 0.00837984 63 0.00757186 1 0.00669266 21 0.00664766
../videos/UNcj5byH-1w.mp4,2 0.915377 7 0.897829 48 0.374207 753 0.0978364 988 0.0898799 235 0.0785444 524 0.0493635 2931 0.0437125 1723 0.0432542 793 0.038305 469 0.0337654 1692 0.032895 979 0.0309567 1429 0.0273388 177 0.0207924 196 0.0199466 213 0.0195701 283 0.0166841 757 0.0158838 258 0.0152774
../videos/UPjeJlvRV9k.mp4,641 0.498104 400 0.481286 3501 0.180987 74 0.0428067 1 0.0368315 16 0.0217845 307 0.0198627 0 0.0196905 131 0.0176431 64 0.0161611 187 0.0133681 736 0.0129018 209 0.0123837 952 0.00983968 2305 0.00935642 2076 0.00897276 2 0.00839784 21 0.00615649 1713 0.00559337 1299 0.00548556
../videos/UQV7Ya7s1Pw.mp4,380 0.979326 88 0.963868 184 0.891632 416 0.807334 614 0.627802 307 0.398055 514 0.131847 364 0.0982279 899 0.054054 400 0.0539574 313 0.0413761 1299 0.0200397 64 0.0179106 616 0.017539 2 0.0165961 388 0.0138919 1771 0.0115039 7 0.00899092 497 0.00798362 150 0.0062174
../videos/UTuB1zH-V5Q.mp4,0 0.335741 1 0.227352 21 0.111977 875 0.0717705 24 0.0400657 23 0.0365739 2 0.0339416 343 0.0263526 3487 0.0246158 420 0.0240442 73 0.0219748 7 0.0213458 1522 0.0203898 375 0.0178987 1648 0.0145312 105 0.0124367 858 0.0115269 611 0.00940331 288 0.00861023 11 0.00714056
../videos/UU8hyhnWwNU.mp4,2 0.132357 7 0.0779025 11 0.0618246 44 0.0234418 16 0.0187738 909 0.0143098 1117 0.0124828 18 0.0123937 1876 0.0116892 259 0.011653 1537 0.0102663 17 0.0101566 64 0.0098116 106 0.00841025 315 0.00829492 146 0.00810552 3801 0.0077924 15 0.00729858 193 0.00728701 139 0.00702442
../videos/U_Ss33mMj-A.mp4,16 0.0618036 315 0.0500585 2 0.0407655 517 0.0281377 65 0.0280948 7 0.0244036 50 0.02258 903 0.0192255 11 0.0171522 1021 0.0170642 25 0.0150865 1082 0.0120515 111 0.0107472 0 0.0106128 707 0.00974794 1110 0.00948111 1 0.00932266 663 0.00844656 1610 0.00798785 133 0.00790379
../videos/UcpCkPTVqlM.mp4,5 0.796891 16 0.179935 903 0.0488422 203 0.0307425 26 0.0266965 150 0.0210547 1 0.0130913 2 0.00936117 315 0.00782473 441 0.00776684 0 0.0069256 7 0.00574537 1008 0.00515946 358 0.00464562 1256 0.00454131 2304 0.00433643 2464 0.00416061 577 0.00407018 623 0.00388954 69 0.0038705
../videos/Ucwt2IizSTA.mp4,0 0.724325 1 0.631944 85 0.0257726 150 0.0195413 16 0.0176392 5 0.0167238 27 0.00996962 105 0.00820746 106 0.00796398 1885 0.00711472 1748 0.00705353 811 0.0070129 629 0.00519976 395 0.00456483 36 0.00453935 245 0.00451582 35 0.00443685 94 0.00412433 193 0.00406469 914 0.00309009
../videos/UeYrVZbjxKg.mp4,146 0.0954751 16 0.0554377 315 0.0487504 1296 0.0334872 2 0.0272421 1 0.0252214 105 0.0228601 203 0.0221819 25 0.0182614 467 0.0132136 7 0.0128594 11 0.0126641 0 0.0105854 205 0.00975376 21 0.00927736 3630 0.00781353 1245 0.00760069 15 0.00724405 8 0.00718259 226 0.00649279
../videos/UgD9F-6jwBE.mp4,11 0.471343 829 0.416004 969 0.310042 813 0.0770434 903 0.0475546 483 0.040407 2392 0.0340453 20 0.032484 2 0.031343 1648 0.0310005 29 0.0274945 7 0.0252572 32 0.0247583 19 0.0230609 221 0.0198937 1 0.0143326 1881 0.0131897 538 0.0130459 2715 0.0129527 0 0.0123272
../videos/Ugl1iXA0Rig.mp4,1 0.0697047 0 0.0496367 16 0.0290918 11 0.0257555 25 0.0234252 225 0.0127081 1196 0.0121231 50 0.0114801 8 0.0110097 136 0.00906216 5 0.00886153 205 0.00813316 2 0.00787067 26 0.00688891 133 0.00672969 596 0.00637038 65 0.00616933 15 0.00531981 903 0.00496122 181 0.00464514
../videos/Ugx18lwaI2k.mp4,1 0.17045 0 0.137138 5 0.0665931 11 0.0458511 2 0.0249141 203 0.0242745 1172 0.0229153 714 0.0213046 505 0.0176687 150 0.0174131 63 0.0166744 16 0.0163345 254 0.0146489 2533 0.0131596 1648 0.011885 7 0.00990332 105 0.00885679 3209 0.0083675 3354 0.00818188 26 0.00799021
../videos/UnISEep5jOY.mp4,1 0.15993 0 0.136063 2 0.0620561 12 0.0586732 105 0.0342488 210 0.034133 7 0.0333396 517 0.027068 245 0.0252797 16 0.0191309 133 0.0123675 183 0.0115273 685 0.0107792 192 0.00843468 2840 0.00793995 19 0.00752349 52 0.00696659 903 0.0068905 150 0.00593961 82 0.00455757
../videos/Uo2tehn3-vo.mp4,26 0.88014 130 0.43485 0 0.193138 2522 0.0709399 27 0.0493828 259 0.0323671 3519 0.0320149 453 0.031281 808 0.0249557 435 0.0234658 609 0.020392 379 0.0185322 99 0.0159356 1 0.0140756 16 0.013924 2758 0.00986422 1211 0.00883953 150 0.00794962 2714 0.00789721 1565 0.00789295
../videos/UpHOi5nzBjM.mp4,25 0.675854 315 0.0298463 16 0.0233816 1 0.0198133 595 0.0150931 2 0.0131314 7 0.00895077 150 0.00739998 146 0.00581845 181 0.00557 0 0.00483047 660 0.00374769 105 0.00300036 203 0.00298175 611 0.0029781 1110 0.00295912 517 0.00285459 9 0.00264704 11 0.00248957 1021 0.00232261
../videos/UqWmsRYB2bQ.mp4,21 0.285768 2 0.20545 23 0.169731 7 0.141243 410 0.0786896 24 0.0478699 73 0.0421987 115 0.0369095 903 0.0251051 104 0.024313 11 0.0229872 16 0.0179373 146 0.014448 1 0.0127251 3565 0.0100569 1767 0.00793562 288 0.0069904 703 0.00683346 17 0.00553863 30 0.00547928
../videos/UqeFn7wTtgI.mp4,210 0.0828587 8 0.0749351 2 0.0721918 44 0.0347549 1 0.0287193 11 0.0258354 25 0.0253621 1803 0.020782 7 0.0199293 16 0.0159354 0 0.0125705 146 0.0117025 1970 0.0106514 315 0.00925511 685 0.00901961 6 0.00896241 19 0.00889117 353 0.0082959 242 0.00787424 107 0.00775586
../videos/Urg3WwJiWQM.mp4,8 0.0370363 11 0.0279033 558 0.0273096 315 0.0240564 16 0.0204999 15 0.0192717 903 0.016532 2 0.0160391 638 0.014282 7 0.0123448 127 0.0120483 17 0.0116121 34 0.00919645 69 0.00868646 25 0.00724555 727 0.00679524 146 0.00613552 133 0.00607643 196 0.00545385 92 0.00523236
../videos/UvjMNvccAog.mp4,11 0.321236 39 0.228436 674 0.141069 315 0.127337 866 0.0939251 505 0.0345559 1450 0.030498 2660 0.0250221 50 0.0216661 2956 0.013219 1658 0.0111905 625 0.0107704 1203 0.00927133 932 0.00850323 126 0.0080666 1 0.00727474 105 0.00666969 2733 0.00659289 16 0.00600672 15 0.00574816
../videos/UwzthUZre5g.mp4,11 0.190421 903 0.133082 8 0.10842 1 0.0928625 0 0.0825388 9 0.0193142 2 0.0163425 150 0.0128118 739 0.0126029 229 0.0124022 16 0.0111973 505 0.0104561 829 0.0103143 315 0.00950526 2746 0.00930449 969 0.00888248 518 0.00840796 2715 0.00838376 26 0.00807382 99 0.00779268
../videos/UycL2hlb4e8.mp4,1 0.145131 0 0.115071 2 0.0724002 7 0.0654005 21 0.0535394 73 0.0457209 24 0.0228875 1522 0.0223631 23 0.0220426 209 0.0202387 6 0.0160963 11 0.0152507 8 0.0102054 733 0.00983929 16 0.00931496 288 0.00921131 375 0.00753133 1552 0.00750142 851 0.00731713 1648 0.00715259
../videos/V3rELK6FZ8A.mp4,39 0.395414 50 0.174649 674 0.0974659 931 0.0732223 3438 0.0293531 850 0.0245669 11 0.0243668 315 0.021566 866 0.0206845 65 0.0149859 2 0.014692 15 0.00860098 2239 0.00789719 2385 0.00704954 2660 0.00687852 0 0.0067667 7 0.00669752 1 0.0061283 505 0.0055802 16 0.00514067
