VideoId,LabelConfidencePairs
../videos/6uAxYzUyH2o.mp4,11 0.415442 749 0.249891 229 0.117949 146 0.053068 883 0.0444192 15 0.0316294 2 0.0308038 7 0.0216662 16 0.0142446 315 0.0131824 1107 0.0127653 625 0.0108399 2947 0.00838207 26 0.00717086 17 0.00709561 1145 0.00706579 956 0.00693739 1675 0.00653768 723 0.00597851 36 0.00589505
../videos/6uC0A1HYHtg.mp4,66 0.109176 8 0.0923707 18 0.0507909 332 0.0397534 15 0.0367302 16 0.0343833 2 0.0238314 67 0.0182547 827 0.0161922 140 0.0141806 293 0.0129903 11 0.0127412 50 0.0109342 315 0.0092719 179 0.00810247 879 0.00787063 170 0.00739743 3447 0.00726389 1876 0.00699689 663 0.0067865
../videos/6v1CmC9PF20.mp4,14 0.441724 16 0.0212556 1 0.0193142 3791 0.0176006 882 0.0102018 150 0.00836087 15 0.00814443 3258 0.00724171 391 0.0060187 11 0.00499493 1312 0.00405139 315 0.00384489 25 0.00384165 136 0.00355262 1100 0.00347258 2328 0.00341472 291 0.00338557 26 0.00323946 662 0.00283061 146 0.00269886
../videos/6xNW3_IRW4k.mp4,16 0.0763478 315 0.050571 15 0.0465419 11 0.0457921 8 0.0361244 2 0.0290204 1 0.0248344 7 0.0242814 146 0.0193333 25 0.0129653 0 0.0127533 429 0.0118732 505 0.00869143 246 0.00831213 9 0.00699931 50 0.0062781 66 0.00621877 903 0.00574423 1296 0.00559719 707 0.00544344
../videos/6xQhTbk8xDo.mp4,259 0.622445 26 0.58385 130 0.50831 2204 0.112104 64 0.0874388 149 0.0285923 2 0.027627 1 0.0228903 315 0.0147699 7 0.0138683 16 0.0118507 62 0.0107294 429 0.0104236 0 0.00806373 17 0.00382538 146 0.00316895 119 0.00313026 113 0.00303665 707 0.00231753 11 0.00221152
../videos/71OyWQQn-rw.mp4,50 0.260149 39 0.128813 315 0.113032 503 0.0593598 931 0.054773 11 0.0517058 1 0.0309734 674 0.021079 8 0.0189214 16 0.0152318 1782 0.00990472 850 0.00935103 393 0.00911163 3283 0.00884315 0 0.00857593 3438 0.00604882 1828 0.0054851 434 0.00530712 505 0.0048738 150 0.003923
../videos/72R2YSdxb2w.mp4,2 0.0427319 0 0.0357457 11 0.0317924 1 0.031716 7 0.0277889 53 0.0269914 226 0.0220852 16 0.0205713 69 0.0194296 21 0.0166346 315 0.0142819 1233 0.0137157 133 0.0134868 105 0.012124 577 0.0093332 362 0.00913291 424 0.0089269 58 0.00830819 613 0.00794404 1172 0.00793225
../videos/73rld8AWS-4.mp4,8 0.111628 1 0.0942909 85 0.039713 0 0.0211025 2 0.0201554 1918 0.0182793 248 0.0176218 353 0.0169657 356 0.016686 210 0.0126915 698 0.0111882 871 0.0101265 315 0.0100397 242 0.00981764 105 0.00962762 16 0.00897411 100 0.00820679 44 0.00687301 146 0.0065889 11 0.00647021
../videos/75WVAdg3ilI.mp4,4 0.340914 1 0.164434 1004 0.0908301 0 0.0830892 1344 0.0639175 6 0.0418316 623 0.0407487 337 0.032043 827 0.0225754 2167 0.0206018 16 0.0205783 387 0.0178825 159 0.0172942 157 0.0154228 358 0.0110198 2768 0.0102499 2836 0.00864909 409 0.00817094 3152 0.00815413 2240 0.00814581
../videos/7AA0awrRzKs.mp4,2 0.881451 7 0.814041 116 0.465565 283 0.0844516 235 0.057396 573 0.0513416 469 0.0501331 1214 0.0327342 104 0.0309021 197 0.0268379 2532 0.0202139 2074 0.0189114 165 0.0159935 1038 0.0149189 1158 0.0138856 903 0.0137406 1 0.0123508 2477 0.0121032 316 0.0120063 198 0.0114167
../videos/7BNppr9nATE.mp4,25 0.464635 1 0.176851 0 0.0750951 517 0.0587894 14 0.0377811 282 0.00915091 815 0.00848855 337 0.00793401 799 0.00646755 2022 0.00486361 16 0.00473185 3236 0.0043568 1110 0.00375229 189 0.00361384 2977 0.00352714 1021 0.0033427 146 0.00297566 423 0.00220746 1326 0.00211466 1868 0.00211311
../videos/7BeyhmlO7Ak.mp4,11 0.116287 15 0.0857401 2230 0.0292663 146 0.0254141 7 0.0251389 2 0.0248668 499 0.0208682 315 0.0185608 1 0.0165101 723 0.0144556 16 0.0116552 9 0.0112366 26 0.0106638 511 0.00927627 126 0.00812091 242 0.00762069 375 0.00678394 3592 0.00668928 291 0.00665472 21 0.00655161
../videos/7F2FxKxwPNY.mp4,11 0.672446 1034 0.434697 1366 0.286362 1684 0.278769 1872 0.185046 302 0.10811 315 0.0492825 2 0.0250472 7 0.018588 368 0.0180632 112 0.0124112 1 0.012174 579 0.00662995 625 0.00586376 16 0.0056362 886 0.0052571 505 0.00439187 707 0.00429097 1016 0.00409045 146 0.00331509
../videos/7I_0iXnYIys.mp4,82 0.470179 118 0.42715 1 0.132296 103 0.107902 0 0.0911213 440 0.0150356 63 0.0136715 851 0.00727503 133 0.00717593 4 0.00713547 2813 0.00608155 2 0.00606544 2912 0.00538865 16 0.00456783 36 0.00352585 105 0.00328645 2317 0.00311469 69 0.00248605 9 0.00246625 17 0.00235978
../videos/7JmxoI5ouX8.mp4,39 0.505793 146 0.0347541 66 0.0314443 50 0.0308861 202 0.0301562 1782 0.021943 65 0.0159474 233 0.0120898 308 0.0114048 1 0.0107049 2 0.00992985 1095 0.00985278 1850 0.00756996 7 0.00684648 503 0.00650953 11 0.0063434 26 0.00633436 16 0.0062865 332 0.00555331 3500 0.0054338
../videos/7L8VBMsYagk.mp4,434 0.121838 1 0.0706907 133 0.0551465 2139 0.0415594 16 0.0352576 2 0.031329 7 0.0294745 203 0.0272905 0 0.0184668 259 0.0167846 8 0.0164421 707 0.0137139 315 0.0136579 1885 0.0107272 21 0.0107118 150 0.0103522 1901 0.00853083 11 0.00799566 73 0.00786387 2710 0.00615927
../videos/7Sbe6gkVkrc.mp4,11 0.775253 813 0.712472 20 0.320088 2206 0.29293 969 0.269881 22 0.210467 903 0.141785 315 0.104138 829 0.0846916 29 0.0440015 32 0.0229597 1 0.0189659 2715 0.0108226 2746 0.0102499 505 0.00947387 368 0.00865757 406 0.00812852 2 0.00532287 1792 0.00521808 517 0.00415661
