ad_id,Has this ad been deleted? Why?,what is the brand?,What is the product?,what is the category of the product?,"Do you believe that this video was sponsored by a commercial brand, public agency (e.g., FIESP/FIEMG/SESI), government agency or an youtuber (famous or not)?","Do you believe this ad employs multimedia (audio, video) or other features in its discourse to attract the attention of children?","Do any well known children character appear on the ad?
",Does this ad advertise a product geared to children?,"Based on your personal beliefs, 
do you think the ad is unsuitable for children?"
34AJ7MJNqFg,no,Soulja Boy,Music,Arts & Entertainment,Commercial brand,no,no,no,yes
YCCu_a1GI8c,no,Proctan,Hemorrhoid Medicine,Health & Hygiene,Commercial brand,no,no,no,no
SpPHE5nGpoM,no,Neutrogena,Makeup Remover,Beauty & Fitness,Commercial brand,no,no,no,no
n_4n6O8-OzI,no,Kinder,Kinder Ovo,Food & Drink,Commercial brand,yes,no,yes,no
8ggfB7bU1FM,no,NET,Cable TV and Streaming Service,Arts & Entertainment,Commercial brand,yes,no,no,no
2vlJnZfjjac,yes,McCafé $1 Any Size Premium Roast Coffee | McDonald's Canada,,,,,,,
V5OOIKiTRvo,no,Treetop Trekking,Adventure Park,Travel,Commercial brand,no,no,no,no
eXQ4u_5iz1I,no,Reebok,Sports Gear,Clothing,Commercial brand,no,no,no,no
BwsbiCfZwPs,no,Content,Youtube Channel,,Youtuber,yes,yes,yes,no
Hm0e0-BYkpo,no,Diabetes Canada,Fundraising Event,Health & Hygiene,Public Agency,no,no,no,no
TibNp6DN6vI,no,ONG SH11,Music,Health & Hygiene,Public Agency,no,no,no,no
0OV8X8YwSaQ,no,Giuliana Flores,Flower,Home & Garden,Commercial brand,no,no,no,no
YZs_GD7zLrw,no,Clínica Soles,Aesthetics,Beauty & Fitness,Commercial brand,no,no,no,no
MpcV61eFJWk,no,Titleist,Golf Club,Sports,Commercial brand,no,no,no,no
Dmcm8eF4NeU,no,Apple,Apple Watch,Computers & Eletronics,Commercial brand,no,no,no,no
Kq8XHxQQbg4,no,Tech Funshop,Vaporizer,Home & Garden,Commercial brand,no,no,no,no
EFUkWNn-Lo4,no,Blizzard,Ice Cream,Food & Drink,Commercial brand,no,no,no,no
vLcNM2iqD9o,no,eBay,Online Shop,Online Services,Commercial brand,no,no,no,no
_68GEzmsjEs,no,Uber,Ridesharing,Transportation,Commercial brand,no,no,no,no
4vUuC_rKboc,no,Soda Stream,Water Aerator,Home & Garden,Commercial brand,no,no,no,no
fsfikgfdUqM,no,Goemans,Dishwasher,Home & Garden,Commercial brand,no,no,no,no
MOo9iJ8RYWM,no,Grammarly,Grammar App,Online Services,Commercial brand,no,no,no,no
yBOnnVSHxZ0,no,Content,Youtube Channel,,Youtuber,yes,no,yes,no
oHIfUitdQHI,no,Content,Youtube Channel,,Youtuber,yes,no,yes,no
kl60uZdJ0Xg,no,IBM,IBM Cloud,Computers & Eletronics,Commercial brand,no,no,no,no
L2-d3DnNBCU,no,Honda,Car,Auto & Vehicles,Commercial brand,no,no,no,no
2iTNc8rsFo8,no,Cougar Shoes,Shoes,Clothing,Commercial brand,no,no,no,no
YYDSvfIdL-0,no,Chevrolet,Car,Auto & Vehicles,Commercial brand,no,no,no,no
_W8ruoagF5M,no,McDonalds,Burger,Food & Drink,Commercial brand,yes,no,yes,no
uxqzB2Kb-a8,no,TaylorMade,Golf Club,Sports,Commercial brand,no,no,no,no
SC2LDdtCFlg,no,UNIP,Superior Education,Education,Commercial brand,no,no,no,no
1u2nS8jcc5g,no,Consul,Fridge,Home & Garden,Commercial brand,no,no,no,no
LBNnsuBkLXc,no,Youse,Insurance,Finance,Commercial brand,no,no,no,no
UeYrVZbjxKg,no,SEBRAE,Superior Education,Education,Commercial brand,no,no,no,no
3lSflsFxW6I,yes,Nespresso | Comin’ Home: Recycling | CA,,,,,,,
D64yWkA1IAU,no,ABECS,PSA,Finance,Government,no,no,no,no
cAeQWbq_tVM,no,Loopmasters,EDM Samples,Arts & Entertainment,Commercial brand,no,no,no,no
dVtrly-E7PY,no,Claro,Smartphone,Computers & Eletronics,Commercial brand,no,no,no,no
dxegjkqojGg,no,Oakley,Various clothes,Clothing,Commercial brand,no,no,no,no
P0NRPkOIsAo,no,Content,Youtube Channel,,Youtuber,yes,yes,yes,no
AXbOLpIE254,no,McDonalds,Burger,Food & Drink,Commercial brand,no,no,no,no
TGisaGfc-pc,no,O vídeo não foi disponibilizado em seu país pelo usuário que fez o upload.,,,,,,,
Ksje38btNLk,no,Broil King,Barbecue grill,Food & Drink,Commercial brand,no,no,no,no
yGi5flMWjAE,no,PizzaHut,Pizza,Food & Drink,Commercial brand,no,no,no,no
385aUOUkQzU,no,Veet,Gel Wax,Beauty & Fitness,Commercial brand,no,no,no,no
Y6QRfq76i4k,no,Kronenbourg 1664,Beer,Food & Drink,Commercial brand,no,no,no,yes
mIM64bMtuHg,no,Robin Hood,Baking Mix,Food & Drink,Commercial brand,no,no,no,no
oehbLuy6aXw,no,Gabily,Music,Arts & Entertainment,Commercial brand,no,no,no,yes
9ZR_tDw6eCM,no,Swiss Internation Air Lines,Airplane travel,Travel,Commercial brand,no,no,no,no
h2KigmRHlvg,no,ACCIONA,Construction,Business & Industrial,Commercial brand,no,no,no,no
r7HZyQcDsJQ,no,Renner,Clothes,Clothing,Commercial brand,no,no,no,no
y8bZkOGDFgA,no,Petrobras,PSA,Business & Industrial,Commercial brand,no,no,no,no
6_ufvsWT5oA,no,Mazda,Car,Auto & Vehicles,Commercial brand,no,no,no,no
6qJBeqewYps,no,Elsys Eletrônicos,Internet,Internet & Telecom,Commercial brand,no,no,no,no
wJR0mQtILhs,no,Mazda,Car,Auto & Vehicles,Commercial brand,no,no,no,no
7rTmlLA31ew,no,Good Price World,Massage Chair,Home & Garden,Commercial brand,no,no,no,no
t1ZIP9aFDKY,no,Uber,Ridesharing,Transportation,Commercial brand,no,no,no,no
TbwblbDusF8,no,Content,Dating advice,,Youtuber,no,no,no,no
BIIVF4z5Sn8,,,,,,,,,
1esoP0swgTM,,,,,,,,,
K25yYUytD1U,,,,,,,,,
_tS0QwW6rqs,,,,,,,,,
qPgTZZyHpDI,,,,,,,,,
94Uy8gYvBUk,,,,,,,,,
Qq_3gZiJTsw,,,,,,,,,
TWELYLhPbXc,,,,,,,,,
YA1jrCJrBEQ,,,,,,,,,
w6nly1rBmsQ,,,,,,,,,
yfiw9XDTHeE,,,,,,,,,
fCrC_H4WNIA,,,,,,,,,
tdFq7NNqMhY,,,,,,,,,
IKAt3A2TZkA,,,,,,,,,
ReRis2ipZzA,,,,,,,,,
X30N9H1pxhA,,,,,,,,,
c0SFUhuBDOc,,,,,,,,,
kx-_IjQtNOo,,,,,,,,,
AI-x_cwEEwo,,,,,,,,,
oWhFtBDLEaI,,,,,,,,,
_ZeP_ZnO9ao,,,,,,,,,
mQcTnfDiaeQ,,,,,,,,,
FfbsQ03F9Ww,,,,,,,,,
hTeuHPZsudg,,,,,,,,,
bvcYaI1wegs,,,,,,,,,
srtgXpIwb1M,,,,,,,,,
I68KGzme_gI,,,,,,,,,
rr3yjOHSX6k,,,,,,,,,
5JTU69yLDMY,,,,,,,,,
Cxb4ueMEZPk,,,,,,,,,
yxFQMuslwzc,,,,,,,,,
WNLvIQYdwAo,,,,,,,,,
fgVQeSpoUbg,,,,,,,,,
AppHN8nrtjo,,,,,,,,,
PusepRhkdCo,,,,,,,,,
6iBodMQPCdU,,,,,,,,,
USGOPGb6nUE,,,,,,,,,
O30_xIYMM7M,,,,,,,,,
dKdNXK-6pnY,,,,,,,,,
jEcWEZy3L0k,,,,,,,,,
JUUzxr5yj-o,,,,,,,,,
rKCGRCeua8U,,,,,,,,,
PaszKEBk2ho,,,,,,,,,
-0iPHNTYfOI,,,,,,,,,
MPFm-I6R5WI,,,,,,,,,
EnauWgbB9v8,,,,,,,,,
GbRBPNeZ2iA,,,,,,,,,
9pAeQbuaqsM,,,,,,,,,
sTYrVkrrBqM,,,,,,,,,
RilFxu-gWHU,,,,,,,,,
Ja3HCpwTo_0,,,,,,,,,
kOZJmSoYkcM,,,,,,,,,
10rT8iZWyAE,,,,,,,,,
wgfraiRHQZM,,,,,,,,,
xFdj7lw7NUM,,,,,,,,,
xv9029oFg9s,,,,,,,,,
APifwOh6Pis,,,,,,,,,
qaZg85oFi_4,,,,,,,,,
b1E5PNeh6uc,,,,,,,,,
jQbg20iHd80,,,,,,,,,
JmdPjSoc11Y,,,,,,,,,
pHRa6OyO_-Y,,,,,,,,,
