ad_id,Has this ad been deleted? Why?,what is the brand?,What is the product?,what is the category of the product?,"Do you believe that this video was sponsored by a commercial brand, public agency (e.g., FIESP/FIEMG/SESI), government agency or an youtuber (famous or not)?","Do you believe this ad employs multimedia (audio, video) or other features in its discourse to attract the attention of children?","Do any well known children character appear on the ad?
",Does this ad advertise a product geared to children?,"Based on your personal beliefs, 
do you think the ad is unsuitable for children?"
Flx6PP-8EUg,,,,,,,,,
3LjBC1enTjE,,,,,,,,,
BTJjT4qXBCQ,,,,,,,,,
DKhqWfmzzjs,,,,,,,,,
sHQenmz-MnI,,,,,,,,,
bWD1cGwayRw,,,,,,,,,
YY9460HR-G0,,,,,,,,,
z9l_9FpZuLU,,,,,,,,,
g4OSDHrRAvA,,,,,,,,,
mUhPLg6ogWA,,,,,,,,,
ZRKlthLjLwE,,,,,,,,,
HOXHVUUjnqA,,,,,,,,,
HR5sbae8HF4,,,,,,,,,
3aN7uNqOcAg,,,,,,,,,
WQfj9RCxFYI,,,,,,,,,
p0yvSrO0TKo,,,,,,,,,
Y411iQ1FLPE,,,,,,,,,
G5N6uLm2oA8,,,,,,,,,
VhOeMqa2on0,,,,,,,,,
-ilNuSh1Fgw,,,,,,,,,
qsmmh6sSSZ4,,,,,,,,,
DLnZI_xVv5o,,,,,,,,,
rDOz5EWU-iY,,,,,,,,,
HbAQ0UZ9q2w,,,,,,,,,
_wHvfFb1-p4,,,,,,,,,
qkXVwS2awlc,,,,,,,,,
1SuJb5Qv2eY,,,,,,,,,
vPB8Ehf_Mvg,,,,,,,,,
LMH5ORhlftY,,,,,,,,,
SONjUNhh8qM,,,,,,,,,
1juPZLpCZfA,,,,,,,,,
wp0LhE85qwM,,,,,,,,,
MHKq6fZoBQM,,,,,,,,,
gKZt0a7s-bc,,,,,,,,,
TwJ3lEqliPo,,,,,,,,,
DNuvPy6-2h8,,,,,,,,,
jkXXsTDpY7E,,,,,,,,,
iooKztosfFM,,,,,,,,,
zuFmdtfEKZs,,,,,,,,,
ZiGj1TUX7_U,,,,,,,,,
6Ixuav_cWBs,,,,,,,,,
Z8yPKeHxJYA,,,,,,,,,
5rqD9lorHaw,,,,,,,,,
LAG7rGuKtDs,,,,,,,,,
kZFl8NCMCNA,,,,,,,,,
tmAFuybs2Kk,,,,,,,,,
ZRODfQpkb9M,,,,,,,,,
MHiioN0DPEc,,,,,,,,,
j3zw_bO-Utw,,,,,,,,,
_Sbn2vxuz0E,,,,,,,,,
KzxJN6BsbN0,,,,,,,,,
jWK-UpZdFn0,,,,,,,,,
NlqbDo-2lrg,,,,,,,,,
T5fR4irkEcY,,,,,,,,,
DS-_VQsokfk,,,,,,,,,
i6VrktGBAMM,,,,,,,,,
uvhDANE1BC0,,,,,,,,,
I8QHphA7e84,,,,,,,,,
eGoFxqqZKUg,,,,,,,,,
tLWLJ1ZS8g8,,,,,,,,,
6AQlAQ0qbXY,,,,,,,,,
84sS_eQbAFc,,,,,,,,,
Rxq6La91afM,,,,,,,,,
kq-d_Vbb6Kg,,,,,,,,,
mmp7v2qAiLc,,,,,,,,,
RcgXz8ng5uo,,,,,,,,,
6Ubm3UrqNRg,,,,,,,,,
T6SUGoa59zQ,,,,,,,,,
67DWiiY3bRA,,,,,,,,,
F9ojvInsvIo,,,,,,,,,
lKKOXsI33lw,,,,,,,,,
B5AHUFwhkDM,,,,,,,,,
Gah4X2k-yWs,,,,,,,,,
0Z4OFJ2rWDY,,,,,,,,,
Wi32n3UiloY,,,,,,,,,
wHZntdQJVJo,,,,,,,,,
W4uO8wT4-qc,,,,,,,,,
wsxpR2KZf40,,,,,,,,,
ZYzzdMDCi9E,,,,,,,,,
ouMqJFl690U,,,,,,,,,
-nWjrLOKEXg,,,,,,,,,
BmINI7hYYe0,,,,,,,,,
IMkuNIMLsi8,,,,,,,,,
yM5rF4FMXkg,,,,,,,,,
36mThSWUv2k,,,,,,,,,
PGv60XgT6aI,,,,,,,,,
JmNsQZ6wh6E,,,,,,,,,
WfDAJBhNIPw,,,,,,,,,
suZr6tCGJGg,,,,,,,,,
r8-NHuyYuhQ,,,,,,,,,
ONuMUvcx2eU,,,,,,,,,
okBPCuFr2oI,,,,,,,,,
ZaVW-APjuNU,,,,,,,,,
sVyIWerzasI,,,,,,,,,
FFy0A1Bywoc,,,,,,,,,
P-rpPfMk5u0,,,,,,,,,
tlRsnI0Hrlk,,,,,,,,,
6DybFSs_RLc,,,,,,,,,
BcrkyoHh42o,,,,,,,,,
4EeyTa_uWcs,,,,,,,,,
19HWnOsGATo,,,,,,,,,
0XjxWY2--zk,,,,,,,,,
vizjFlNoy_4,,,,,,,,,
Z2knP6RBC8o,,,,,,,,,
WVmpEmj2c4c,,,,,,,,,
WmmXM1mwGl8,,,,,,,,,
tRvyrUIOjAk,,,,,,,,,
-zfgtVZoV9I,,,,,,,,,
zEqFyWmIc00,,,,,,,,,
HVh_T2uc_oA,,,,,,,,,
FPkCr43_euI,,,,,,,,,
IehXdV_biak,,,,,,,,,
o82gObOLOcM,,,,,,,,,
kw1TeUDhUgQ,,,,,,,,,
4TwRbDgAKTs,,,,,,,,,
EQTLC5sf8tY,,,,,,,,,
qW0Or-MI-IM,,,,,,,,,
LlAL-gwndTg,,,,,,,,,
uMvTzqLBwAw,,,,,,,,,
pqGgZwSffYE,,,,,,,,,
2Ez8bu5xY2c,,,,,,,,,
sZRx-rjW6GQ,,,,,,,,,
tv4HtbeDbWs,,,,,,,,,
HkL6Yn7hoSk,,,,,,,,,
YVZnqSeZlPM,,,,,,,,,
xKX125srwYU,,,,,,,,,
66_96k6xF4Q,,,,,,,,,
KHVRb_kCpDo,,,,,,,,,
fohPdVkAAoc,,,,,,,,,
75WVAdg3ilI,,,,,,,,,
v7PJP_d8v9o,,,,,,,,,
r1An-UEjAss,,,,,,,,,
st-JB78UKz4,,,,,,,,,
XNMJjHFCaWg,,,,,,,,,
3W1T8wBdN-M,,,,,,,,,
u-gzRwDbDSg,,,,,,,,,
JfyP6uKxsAE,,,,,,,,,
H5MIAo1qNRk,,,,,,,,,
e2t10sCcK94,,,,,,,,,
Vx8ojO1D8AU,,,,,,,,,
Vo2wVubJeeA,,,,,,,,,
EfphxQ5ISDM,,,,,,,,,
5XQ8d6uR_tM,,,,,,,,,
dwkLKc7ZgTY,,,,,,,,,
ROghmvjsaB0,,,,,,,,,
of9591iY6HQ,,,,,,,,,
lzJkLbnZTdM,,,,,,,,,
8qvbTwbOuIc,,,,,,,,,
44wBAmKJKzg,,,,,,,,,
W1XkXW4Dkm4,,,,,,,,,
ixPZNJLCdlc,,,,,,,,,
aRiP9lWHOrE,,,,,,,,,
Ph3ua4nAh0M,,,,,,,,,
QNoY8ZNgJ6E,,,,,,,,,
g1RTffMgkrU,,,,,,,,,
eAu8pzsEffQ,,,,,,,,,
1vFPVz2a4CU,,,,,,,,,
aJYy0wpUx3I,,,,,,,,,
4iy-xg3O8TQ,,,,,,,,,
zMp2ztWC1FA,,,,,,,,,
BJajZOC1Bsk,,,,,,,,,
E-LFuS_LEr8,,,,,,,,,
HPelWDVi7Ss,,,,,,,,,
thFKZnLFJ_s,,,,,,,,,
ifsAOgW8Vo0,,,,,,,,,
3NZoa0ikKrg,,,,,,,,,
eIP-ohXu8lU,,,,,,,,,
BVgZTp8VTqI,,,,,,,,,
3SRx8gkjjXw,,,,,,,,,
O_OLyYy8HTM,,,,,,,,,
pCn7FIN29LQ,,,,,,,,,
aDlAIbVxxX8,,,,,,,,,
_EocNjCdLlY,,,,,,,,,
6q0IKtcVHg0,,,,,,,,,
dNjkBQPw-l0,,,,,,,,,
axaF10JIvGM,,,,,,,,,
RjTeafj_o78,,,,,,,,,
GLyXmdnBH3Q,,,,,,,,,
_kjgGorViF8,,,,,,,,,
tnIYpeelvt4,,,,,,,,,
wnuh3B2R170,,,,,,,,,
Hu-RPDs_IPE,,,,,,,,,
pWtwl_RTywk,,,,,,,,,
tXQtOV8cFJQ,,,,,,,,,
NQs8dMQMaQo,,,,,,,,,
UlIYImQWZMI,,,,,,,,,
NhtXyQJ17yw,,,,,,,,,
_TRn3yFZkso,,,,,,,,,
3-FfFAxVldc,,,,,,,,,
PfBVHOrzmFE,,,,,,,,,
Yq2IXr-SryY,,,,,,,,,
hb-QpwCJAvU,,,,,,,,,
gu9_m0vm7fM,,,,,,,,,
9Xb79yQxkIY,,,,,,,,,
VH7UYs5wzQo,,,,,,,,,
B-FHheaD__M,,,,,,,,,
pD2X7HJN6nY,,,,,,,,,
dMnsQG-qsR4,,,,,,,,,
nqy3JUZ2Jwo,,,,,,,,,
1uAtvSDdZJw,,,,,,,,,
UqWmsRYB2bQ,,,,,,,,,
d9Xe0_FAW3Y,,,,,,,,,
LoEHgZkfIIo,,,,,,,,,
2COE-b4cmv0,,,,,,,,,
nuYZk1jAr_I,,,,,,,,,
cPMMr_Zcjso,,,,,,,,,
L5TSaXdCuGk,,,,,,,,,
iVPCboAPl-8,,,,,,,,,
0npsclLvnN0,,,,,,,,,
sa3xsvZVYoc,,,,,,,,,
qCMaOjHx6N4,,,,,,,,,
0U1i8z1yIFk,,,,,,,,,
nFzB2oCQ7-M,,,,,,,,,
AxSqDqjv3a8,,,,,,,,,
iMPZV0lIDPE,,,,,,,,,
47In-TrAjnA,,,,,,,,,
Lsj64qlzgnM,,,,,,,,,
6plvLgmlUF4,,,,,,,,,
qpDc75A2IhM,,,,,,,,,
_GOsYO8O-iw,,,,,,,,,
_XhmRy5WFdc,,,,,,,,,
SqDOmRgJsOg,,,,,,,,,
Qi19Y8vL9Qk,,,,,,,,,
Qbi0QlMPoHw,,,,,,,,,
Zz1_jA9DtWc,,,,,,,,,
4Ed0h6K1fu8,,,,,,,,,
r3tieoMIkKc,,,,,,,,,
DdqNdRsxBa0,,,,,,,,,
YCgYUZZX7uc,,,,,,,,,
B1fHKylG6UE,,,,,,,,,
en4n3lflSs0,,,,,,,,,
LdcKb2nBg_0,,,,,,,,,
M9HkxKz17kw,,,,,,,,,
Sgx3DD74tOk,,,,,,,,,
tlHxzHT5V-k,,,,,,,,,
LTi1Y-0-A1k,,,,,,,,,
w0sOgpkPBJM,,,,,,,,,
fnUMABLS-ZQ,,,,,,,,,
t_4KLunH69s,,,,,,,,,
llLm62yE1Gc,,,,,,,,,
iRxKoOVrxqc,,,,,,,,,
z74HBxFEam8,,,,,,,,,
HvNF0yFUcx0,,,,,,,,,
sEGKE6H2c8M,,,,,,,,,
mAfCNhV-mes,,,,,,,,,
PBNq88tcLCA,,,,,,,,,
EKiGJPzJDXQ,,,,,,,,,
ivQuZ0P81-w,,,,,,,,,
dRf3NRNO5C4,,,,,,,,,
U1lUK7at1vE,,,,,,,,,
4syMeZOovEU,,,,,,,,,
B7xlm63ITQI,,,,,,,,,
rFXy1ssqqQg,,,,,,,,,
TM81x8obEx8,,,,,,,,,
U76REOjtmVQ,,,,,,,,,
InyTsJTqbbs,,,,,,,,,
xwpEqdcOF4k,,,,,,,,,
QvhU8Sdc9Iw,,,,,,,,,
D_MQ9x-GJ7k,,,,,,,,,
tjP31DEbKIM,,,,,,,,,
WjtwijJfhlw,,,,,,,,,
toziTx6pu-8,,,,,,,,,
EdjSNX5W3wA,,,,,,,,,
SZDSLQM6wFM,,,,,,,,,
Px4YVG1uvkE,,,,,,,,,
QsZQU4J4c5Q,,,,,,,,,
TaN6y68lGjM,,,,,,,,,
4bwoj7-9ipM,,,,,,,,,
y44ZGppsKOU,,,,,,,,,
mfvxtGtQ9B4,,,,,,,,,
MYEJ5lCpN6s,,,,,,,,,
2nFlVPmzA9I,,,,,,,,,
IiVZq1Wapdg,,,,,,,,,
hkKt15IHIqw,,,,,,,,,
6cV_7ZRwMsU,,,,,,,,,
-7w9xtGgibU,,,,,,,,,
HanuUE0Jgsc,,,,,,,,,
Xq9XomvKyu0,,,,,,,,,
LdUZvSX05kU,,,,,,,,,
4pqzWmBIm5o,,,,,,,,,
v9eBDhBz0HQ,,,,,,,,,
8lVH7qRUZlM,,,,,,,,,
X_SEUx4hoIk,,,,,,,,,
JpvgKPuChyM,,,,,,,,,
pOB7Umo5J8I,,,,,,,,,
B6IaA_5vu-Q,,,,,,,,,
wlpsaXNYutw,,,,,,,,,
PL2xxNew7Sc,,,,,,,,,
zkbzSwB5JgQ,,,,,,,,,
1Ngjbu8S5DA,,,,,,,,,
Zc_FDPob3eE,,,,,,,,,
HoThFpgzCuw,,,,,,,,,
GyyrFvnVRKc,,,,,,,,,
AeHxzkoPkoA,,,,,,,,,
w-ziBlQMvKY,,,,,,,,,
xonhLnAjhmg,,,,,,,,,
oqaMGt6bgqE,,,,,,,,,
1xGWgmyHnNY,,,,,,,,,
jER36Ga6WoE,,,,,,,,,
_R_7-0aJqlI,,,,,,,,,
8kCHH_OYIRQ,,,,,,,,,
yDhMa24qkFg,,,,,,,,,
_u9kt3SiyJk,,,,,,,,,
vCrIMbXg_9Y,,,,,,,,,
-Xrdx8pDPj8,,,,,,,,,
phN1nUu-VBg,,,,,,,,,
2iiYP6Ncw58,,,,,,,,,
5XX_dWUh7vc,,,,,,,,,
5qxr6kkUqhU,,,,,,,,,
YTApdaTcGqw,,,,,,,,,
IDTmE6YvBIk,,,,,,,,,
w4ZUsO2QKj4,,,,,,,,,
3y06_Bh4tn4,,,,,,,,,
5_RfTv88aEs,,,,,,,,,
9KgLHsk5hl0,,,,,,,,,
v6ANNt_LfW4,,,,,,,,,
RQPuQQYuiiM,,,,,,,,,
e1ZPARZ57Do,,,,,,,,,
ZTaenDpFejw,,,,,,,,,
3pJNtKjvK6M,,,,,,,,,
BwB_SFVfLQY,,,,,,,,,
hJR1AjGINl0,,,,,,,,,
guzJhBTHiBI,,,,,,,,,
eJfHoKvDVyo,,,,,,,,,
HFKkF8_8DCU,,,,,,,,,
uGoPP6x3CvE,,,,,,,,,
_cZWLdXTbds,,,,,,,,,
fmJo9sBgqLw,,,,,,,,,
w55oLy7sI4Q,,,,,,,,,
ZbclLcOm14k,,,,,,,,,
j5koMqBpqH4,,,,,,,,,
azkp5292SlY,,,,,,,,,
XMkDC2rNKYw,,,,,,,,,
gHpWrBRHCJs,,,,,,,,,
QxuI1kaAd0g,,,,,,,,,
0zgH4Ie-zv4,,,,,,,,,
l1bLN4C6HO8,,,,,,,,,
-Zz57ITOYDU,,,,,,,,,
rUn-Dkij9tg,,,,,,,,,
-muCThBHudQ,,,,,,,,,
tsZXwt33wxw,,,,,,,,,
MNnwfvFJYbQ,,,,,,,,,
HjdGkFDPiVE,,,,,,,,,
yAf16fLqvsg,,,,,,,,,
S98m1jYySMk,,,,,,,,,
tD0DdmmsEh0,,,,,,,,,
PIIJu6ZgpLc,,,,,,,,,
0mbm89IGT94,,,,,,,,,
4f1YyH18QyM,,,,,,,,,
9Sc4kmwlOfo,,,,,,,,,
_sP-fnHcxMw,,,,,,,,,
pyXzu-ev_jk,,,,,,,,,
N7TrJhSe370,,,,,,,,,
wFgGIyBp8vw,,,,,,,,,
RMLqz21wndE,,,,,,,,,
kZPfHywpUAw,,,,,,,,,
BanifeTM4uU,,,,,,,,,
pzCcFM7Rtj0,,,,,,,,,
J7uB1tiPcyU,,,,,,,,,
CN6iIfzYYcc,,,,,,,,,
OD4poiJKRV0,,,,,,,,,
z5FWwk4Maf8,,,,,,,,,
-UChaVaD1Hw,,,,,,,,,
LMTvFGCXbUw,,,,,,,,,
LQldqrGSDv4,,,,,,,,,
56vxofPCUyM,,,,,,,,,
lVEddPb5Bc8,,,,,,,,,
1s87yX8I4J0,,,,,,,,,
HyfauAubFaI,,,,,,,,,
fRKGZJDOI_Y,,,,,,,,,
LCLOfPPDLZ0,,,,,,,,,
ovDKBYiBewI,,,,,,,,,
GBTIpveAO3Y,,,,,,,,,
OXehDNuuqCc,,,,,,,,,
iW2EKsKJhgU,,,,,,,,,
gVu6BeQ3pmM,,,,,,,,,
3zg-2EucYIM,,,,,,,,,
3CDzypp4u6U,,,,,,,,,
1A0xVbijFIA,,,,,,,,,
sDgxBpDF3zc,,,,,,,,,
j1VYOhYqB8E,,,,,,,,,
zok7RyVYsvA,,,,,,,,,
-lr08IVgQdg,,,,,,,,,
FR6-4cGp1gc,,,,,,,,,
bpLfeyBQJPI,,,,,,,,,
FwYoJvKd1xM,,,,,,,,,
HemOG9GPHVk,,,,,,,,,
qhpDyWmHD1Y,,,,,,,,,
k5J92QJw-fQ,,,,,,,,,
SY8-9tZc_PE,,,,,,,,,
oi4JsohguRE,,,,,,,,,
jER5qE_DJLs,,,,,,,,,
4DhaeSjol3A,,,,,,,,,
cFjf5bPm70I,,,,,,,,,
lphX6cCgqSA,,,,,,,,,
a23K4ZAbS0I,,,,,,,,,
6QsAeH8auz4,,,,,,,,,
6BMNwbikelE,,,,,,,,,
G19y9NVzghM,,,,,,,,,
4jsw69fLR5I,,,,,,,,,
sMFSYSsHpzE,,,,,,,,,
Y4_IOjxJY9o,,,,,,,,,
TVa6z8uQ3oE,,,,,,,,,
_iANqqzwldc,,,,,,,,,
-odH1xQW_8g,,,,,,,,,
VgqUWPbmHsc,,,,,,,,,
g7ewUU73Yp4,,,,,,,,,
EKgAXxzwo_w,,,,,,,,,
Tux68Q-1ciw,,,,,,,,,
RDl-q7NIcWM,,,,,,,,,
pUKIxF8EeiA,,,,,,,,,
BYLcS38Wytc,,,,,,,,,
lTyossbpk6o,,,,,,,,,
ezTeU2XCWEE,,,,,,,,,
Tvy0yT9vDiQ,,,,,,,,,
i-lonnbc8gw,,,,,,,,,
BCQ_Zm8yft4,,,,,,,,,
2HYU5xEJW34,,,,,,,,,
QzLEamfIjr8,,,,,,,,,
J3xj-q369Ic,,,,,,,,,
sof0qph1I5o,,,,,,,,,
9hUecqVIRU0,,,,,,,,,
yk6ARS06WRw,,,,,,,,,
KJ2HpJJ5rhs,,,,,,,,,
n7OMnDs54ro,,,,,,,,,
VKK-zuVkRy0,,,,,,,,,
bGMXaqg4tRQ,,,,,,,,,
gvNHE6OxNxY,,,,,,,,,
F4ckgBOm56A,,,,,,,,,
Z4gsHo6-Yfs,,,,,,,,,
utNFFi2MMog,,,,,,,,,
VPPl8uvUZ-Q,,,,,,,,,
9hsOK5VFdx8,,,,,,,,,
fvtKVqWBhJQ,,,,,,,,,
LrC8CCq1VTk,,,,,,,,,
XBbExc5kMOI,,,,,,,,,
5zJhRYwQX6A,,,,,,,,,
IT8COB1S52I,,,,,,,,,
Nma3AAuBrDA,,,,,,,,,
vsT9ae-7YKc,,,,,,,,,
2WWOMjFfKLk,,,,,,,,,
azaTYZ3qUqU,,,,,,,,,
7F2FxKxwPNY,,,,,,,,,
N6_6uefqcQY,,,,,,,,,
NrhovstmZOI,,,,,,,,,
QBmqQqRBasA,,,,,,,,,
-W5gW9vdksI,,,,,,,,,
AgVFt1MC7XM,,,,,,,,,
ExsAFWrblsw,,,,,,,,,
ZRkTXwSx_2c,,,,,,,,,
PBZv5kRj_B0,,,,,,,,,
xO5aGzLF5P0,,,,,,,,,
0JFMkPvG6D8,,,,,,,,,
t_gjSAjQdXw,,,,,,,,,
FHwE-K8hpMI,,,,,,,,,
rICw89xDb3I,,,,,,,,,
V3rELK6FZ8A,,,,,,,,,
pVq6zyY9seY,,,,,,,,,
-UA_Ul6mu3Y,,,,,,,,,
-fwVRX3KSeo,,,,,,,,,
lBZ15gHbUTo,,,,,,,,,
lMCx6SDI0Z4,,,,,,,,,
_cIUUVUIEwQ,,,,,,,,,
PkCTb0mQk0o,,,,,,,,,
l0ktOAAbmzI,,,,,,,,,
QtmK0cDp_es,,,,,,,,,
jCofbHFUkQY,,,,,,,,,
2UDble5tIqY,,,,,,,,,
at2G7xHFweo,,,,,,,,,
94ZE9SfqG9Q,,,,,,,,,
xLYi-c0jmzo,,,,,,,,,
yWkNU0SNB30,,,,,,,,,
u7WacLIr2fM,,,,,,,,,
YBJy18TgNk4,,,,,,,,,
-urpKwt7v_4,,,,,,,,,
pdAuuItI9z4,,,,,,,,,
7j9tDX5ea48,,,,,,,,,
PmWotf1QRkc,,,,,,,,,
qXjjG7Sffrg,,,,,,,,,
R7Vch1cz3fE,,,,,,,,,
SeWdfUPQ_Mw,,,,,,,,,
8UoKASyNWBc,,,,,,,,,
oN6vu7DxyCU,,,,,,,,,
sLUeSbZTjT8,,,,,,,,,
4QvLr9qt_AU,,,,,,,,,
tmKIlxJAFtI,,,,,,,,,
LXmwfL4VWyM,,,,,,,,,
9quf91wvxGU,,,,,,,,,
ugCVv1nYhs0,,,,,,,,,
stkUa_zuVR0,,,,,,,,,
E-L3ETiJnUE,,,,,,,,,
zu8rWB4Hxto,,,,,,,,,
mlLTP89ARRA,,,,,,,,,
hftMbtdYrro,,,,,,,,,
h7mrbAIaeYY,,,,,,,,,
iT6OMB2BT_8,,,,,,,,,
_PO1T7jXQ0k,,,,,,,,,
fHO5IMPOiFk,,,,,,,,,
YjYx8cQjJOs,,,,,,,,,
OD6G5swKDqA,,,,,,,,,
1XfIR370SRc,,,,,,,,,
g20RWkLIj0k,,,,,,,,,
XsQf71LQipk,,,,,,,,,
1jylFLINt1I,,,,,,,,,
BAW1heEBXv4,,,,,,,,,
r7tliE_OALs,,,,,,,,,
DvKm-gt0uD0,,,,,,,,,
-AwMpYwAC9U,,,,,,,,,
h1jjjJYho8E,,,,,,,,,
ZfYyvH3kkeo,,,,,,,,,
Kthv7D_zPcw,,,,,,,,,
SlRprQIuSpM,,,,,,,,,
WjI6pefTMGM,,,,,,,,,
_nlUMQR5jT0,,,,,,,,,
pz7ZZ-cLH-s,,,,,,,,,
ldU21DyOkl0,,,,,,,,,
OxmKXaZ9aMI,,,,,,,,,
Uo2tehn3-vo,,,,,,,,,
e3g2mNPoxos,,,,,,,,,
vtUFQG-nhqc,,,,,,,,,
Dz_iAQlgkEY,,,,,,,,,
alAzHsUwKps,,,,,,,,,
PUczxTyZH7Q,,,,,,,,,
kyH8wfXxp-4,,,,,,,,,
CybgGbaeipc,,,,,,,,,
UM__gzBJYrI,,,,,,,,,
Yy-hSUOivak,,,,,,,,,
b6D-B88ggmU,,,,,,,,,
dTtWtXtivu0,,,,,,,,,
YzA2rv966tU,,,,,,,,,
IqjHNEMqAQ0,,,,,,,,,
ioRd6irQQhw,,,,,,,,,
95e7YmRaWtk,,,,,,,,,
HBLkadErKwY,,,,,,,,,
BQcCSuPkfA8,,,,,,,,,
VYFblz55khc,,,,,,,,,
g6xm6G593yI,,,,,,,,,
JY26q8xHVIc,,,,,,,,,
E21p_LvWRBQ,,,,,,,,,
GUUiU4o2I-I,,,,,,,,,
DbRmASinGA4,,,,,,,,,
cjCItm2YGyA,,,,,,,,,
Ugx18lwaI2k,,,,,,,,,
6kmv0Zz-WA0,,,,,,,,,
CB7mOZMqdDk,,,,,,,,,
jImWw0cqfn4,,,,,,,,,
OIWKB6v0oPI,,,,,,,,,
nFxN4UD-o6g,,,,,,,,,
_zTMF11BsIA,,,,,,,,,
5_ix5aBbao4,,,,,,,,,
8U_1Yfpt46A,,,,,,,,,
yfGZbiebUuk,,,,,,,,,
Stui8N10Cjg,,,,,,,,,
RZFTkScBmTI,,,,,,,,,
dOfTcx59Jno,,,,,,,,,
SUKwNi5keyk,,,,,,,,,
5W0K9Uz1_GM,,,,,,,,,
MRPtWVpqW9Q,,,,,,,,,
l4dqjLvEPdY,,,,,,,,,
-d342sq7QG4,,,,,,,,,
iQIi1HpnZYQ,,,,,,,,,
6cazg8ZY9zE,,,,,,,,,
AHN7CkwL5do,,,,,,,,,
XibSm-vWGRE,,,,,,,,,
gAifU76dUBQ,,,,,,,,,
6IIwIbXaXA4,,,,,,,,,
Q-P8zu9_5ZA,,,,,,,,,
bKbY7M7IpXg,,,,,,,,,
33WmX4eudJQ,,,,,,,,,
uB2MLcR_n0I,,,,,,,,,
gI_Hd3U8zKc,,,,,,,,,
I_3_d82CqVQ,,,,,,,,,
iOopC3F_H18,,,,,,,,,
_fZXEIKtWp0,,,,,,,,,
OSi0oGmnLQU,,,,,,,,,
LiYzJaE7b7s,,,,,,,,,
rOt-CIrx0_Y,,,,,,,,,
B2QO1OdxetA,,,,,,,,,
DQF7q6JjpGQ,,,,,,,,,
IcL8cIoBoXk,,,,,,,,,
tsI0Jua15jY,,,,,,,,,
WEulE0p_c7Y,,,,,,,,,
1hQLYvTjRr0,,,,,,,,,
xwlPAdLV9wM,,,,,,,,,
ZRT6EnJs6Mg,,,,,,,,,
oN2i8iHUtS0,,,,,,,,,
Ni2ud7C_JEI,,,,,,,,,
X8_fAEdljIg,,,,,,,,,
1fP8bnTnzNU,,,,,,,,,
kkJzRWoNLzI,,,,,,,,,
bqk6-nD66ak,,,,,,,,,
bj8nyIE0Cik,,,,,,,,,
bN9Ix3xeJbE,,,,,,,,,
6HRpdHY4QxI,,,,,,,,,
iI-pnMzG5Ak,,,,,,,,,
iM7vCwKkoF8,,,,,,,,,
bQoG6uz-OmY,,,,,,,,,
mVgxklNZV9I,,,,,,,,,
v19TKDCNT9Y,,,,,,,,,
gbYwETRmRyQ,,,,,,,,,
Pp3LeKUiks0,,,,,,,,,
4umTRW7mCGk,,,,,,,,,
1mBCMtaJCLg,,,,,,,,,
JgvgFcZvLag,,,,,,,,,
oWkyVfb9fos,,,,,,,,,
AiZ6_yM_KYQ,,,,,,,,,
95nI-dhaQws,,,,,,,,,
Rmu730GR6Hw,,,,,,,,,
vZvCgRim_Bc,,,,,,,,,
Zz970M0Wbdc,,,,,,,,,
kjcl3zcc2cA,,,,,,,,,
LNeuFaxcmsU,,,,,,,,,
8_ZGblCXJg4,,,,,,,,,
bTGfspmJ6FI,,,,,,,,,
8t4pkne6yYA,,,,,,,,,
ggFnKdig7kk,,,,,,,,,
vBzLqKMInX8,,,,,,,,,
MW0tmAtmvI0,,,,,,,,,
PZJ7nuJPn58,,,,,,,,,
T2P8Cd1UX8U,,,,,,,,,
uT5_q0PzXnM,,,,,,,,,
XoSGjeMLkGE,,,,,,,,,
olWmXj1WhOk,,,,,,,,,
HprkgLneZdw,,,,,,,,,
2lZm2Mmjw5U,,,,,,,,,
upAcVLmfzTI,,,,,,,,,
7bur2JbsVNE,,,,,,,,,
0I5lTa63HKw,,,,,,,,,
xu_Sm5SgBHM,,,,,,,,,
O_z6D00gKro,,,,,,,,,
eyXgb0vmBgI,,,,,,,,,
8yzowWQZniw,,,,,,,,,
NW2QvzJw6D8,,,,,,,,,
UgD9F-6jwBE,,,,,,,,,
U6HDts3YhUs,,,,,,,,,
nJ0poAnitUM,,,,,,,,,
JV3cNJlIqdY,,,,,,,,,
gKwCJfC18m4,,,,,,,,,
-kGF4c_5lz0,,,,,,,,,
nIUDv5ypFfc,,,,,,,,,
F2e49S4ynlA,,,,,,,,,
Pw_TynIlYo8,,,,,,,,,
dHuPZIdwGms,,,,,,,,,
aGtaKmOzAd0,,,,,,,,,
0v2Wp03gFck,,,,,,,,,
VnZNBHHRM4A,,,,,,,,,
lC_RH6ZVOHE,,,,,,,,,
v3UCawQefe8,,,,,,,,,
z1rfYEUFhME,,,,,,,,,
c6zmV6Id6q0,,,,,,,,,
EpodYkzANgk,,,,,,,,,
xIscwqnIRYA,,,,,,,,,
Vpwdp2sKeCc,,,,,,,,,
JpT3ZfwVhx4,,,,,,,,,
tztxG0bz5wo,,,,,,,,,
awdhbpej2jk,,,,,,,,,
fLfziLRFH1c,,,,,,,,,
_ozDlclym-Q,,,,,,,,,
8ODBRza_gZg,,,,,,,,,
9uSGclbQUOs,,,,,,,,,
NB-jEugNcAs,,,,,,,,,
uqtgRp5tK5s,,,,,,,,,
7XuSpdL0eZw,,,,,,,,,
shWpFFJCHHE,,,,,,,,,
3Mdb5Kun51Y,,,,,,,,,
pfOFOJZZs1A,,,,,,,,,
