VideoId,LabelConfidencePairs
../videos/Zz1_jA9DtWc.mp4,2 0.953364 7 0.915395 171 0.435218 196 0.215917 283 0.117959 174 0.109586 235 0.0573155 457 0.0538308 1429 0.0459945 213 0.0457342 757 0.0413515 1038 0.0364479 165 0.0354244 104 0.0315283 198 0.0286859 1158 0.0279471 1382 0.0243148 469 0.0234217 1087 0.0223864 2075 0.0217043
../videos/_3_NxqxsTaY.mp4,2 0.242769 7 0.177714 11 0.0772075 15 0.0441227 703 0.0359221 17 0.0231327 105 0.0165395 315 0.016272 50 0.0154406 503 0.0139719 434 0.0102722 183 0.00998517 0 0.00968221 30 0.00926976 21 0.00879878 2179 0.00875169 596 0.00867612 1 0.00837929 505 0.00581368 26 0.00565459
../videos/_3xPRLRy2JA.mp4,11 0.137454 903 0.0886596 315 0.0505702 133 0.0256809 71 0.0251277 50 0.0239432 2 0.023563 146 0.017629 1 0.0146299 66 0.0133069 16 0.0131248 7 0.00988334 8 0.00868447 25 0.00819039 2004 0.0074859 39 0.0070087 505 0.0067347 319 0.00652925 17 0.00618032 0 0.00563286
../videos/_68GEzmsjEs.mp4,2 0.446812 7 0.388117 315 0.114832 283 0.110896 146 0.103048 563 0.0368773 2253 0.0268762 235 0.0237651 457 0.0234823 1 0.0166349 2947 0.0163374 15 0.0158917 16 0.0132305 11 0.0118682 21 0.0117189 197 0.0114074 198 0.00876234 2059 0.00836577 1158 0.00828672 25 0.00759381
../videos/_96dGzemOpk.mp4,118 0.609263 82 0.59605 103 0.345354 1702 0.0969485 1 0.088055 25 0.0605028 0 0.0438415 642 0.0294885 440 0.0254092 3503 0.0235274 252 0.0146027 230 0.0118251 337 0.00914354 16 0.00844818 43 0.0066529 36 0.0056918 11 0.00466925 537 0.00448449 69 0.00375772 2912 0.00364337
../videos/_9uSAY0VV_c.mp4,25 0.24777 1 0.111933 595 0.0366438 0 0.029139 39 0.0250733 660 0.0146259 663 0.0120512 50 0.010802 1687 0.00871255 517 0.00720685 8 0.00720494 503 0.0069258 146 0.00641601 1768 0.00573259 332 0.00546596 2854 0.00543888 2588 0.00530945 3433 0.00469505 1782 0.00454953 1691 0.00449084
../videos/_AqdAVdu08o.mp4,2 0.930439 135 0.787042 95 0.428597 64 0.234494 149 0.212802 17 0.129062 297 0.114571 7 0.082913 656 0.0525542 345 0.028261 427 0.0279994 75 0.0220885 729 0.0114246 490 0.0113712 1412 0.00952464 464 0.00915612 1 0.00859781 902 0.00815207 742 0.00750104 129 0.00724184
../videos/_EocNjCdLlY.mp4,2 0.873945 7 0.855575 283 0.224526 48 0.0643547 315 0.0623908 563 0.0486206 1 0.0474691 171 0.047294 457 0.0422255 104 0.0362907 753 0.0359723 1372 0.0358524 235 0.0357234 165 0.0351734 757 0.033715 1436 0.031326 213 0.0240887 1382 0.0228098 1429 0.0223985 1087 0.0191585
../videos/_EslY3SR03A.mp4,148 0.2368 66 0.222756 382 0.0280268 1 0.0184826 400 0.0179777 18 0.0160345 2 0.014428 7 0.0128356 315 0.0117333 8 0.0110135 21 0.0103628 422 0.00989751 11 0.00839267 16 0.0082761 766 0.00810947 648 0.00767851 253 0.00695398 105 0.00676016 9 0.00650564 428 0.00636536
../videos/_GOsYO8O-iw.mp4,39 0.202373 66 0.109175 11 0.0667653 315 0.0553178 441 0.0405494 50 0.0309448 2276 0.0212413 674 0.015192 2385 0.0147103 8 0.0143989 16 0.0126046 26 0.0119021 181 0.0108824 2 0.0105097 1443 0.0102586 332 0.00954393 194 0.00939397 3438 0.00871118 2015 0.0083019 7 0.00807
