VideoId,LabelConfidencePairs
../videos/A7xA6x32Eok.mp4,14 0.222334 25 0.0970335 1 0.0887967 16 0.0463804 315 0.0247487 2 0.0244702 0 0.0177282 7 0.0118054 429 0.0108438 753 0.0102526 1176 0.0080832 146 0.00634625 105 0.00629456 150 0.00536921 5 0.00528068 66 0.00501388 35 0.00455251 58 0.00445579 1956 0.00418157 85 0.00417908
../videos/AAbwUJmjJdo.mp4,1743 0.161855 2 0.0705041 17 0.0536364 1706 0.0369332 717 0.0274482 16 0.0272003 150 0.0251415 1 0.0193939 30 0.016887 739 0.0144001 136 0.0115031 311 0.0113758 8 0.011063 149 0.0109414 9 0.010911 744 0.0101928 7 0.0101831 731 0.00925601 396 0.00804352 0 0.00776391
../videos/ACYL1jNxQio.mp4,66 0.518771 293 0.111995 1499 0.0605472 332 0.052022 1 0.0427064 521 0.0373272 39 0.0365197 71 0.0156676 146 0.0138269 8 0.0135492 2 0.0126603 11 0.0113957 50 0.00934599 0 0.00910958 401 0.00884953 1313 0.00883356 7 0.00612411 152 0.00601397 1750 0.00540144 36 0.00418103
../videos/AGeMj1qAdtE.mp4,1 0.347326 0 0.218952 25 0.0779151 921 0.0428703 150 0.0332963 245 0.0307792 983 0.0185623 136 0.0158459 2858 0.0155666 189 0.015474 2669 0.0154242 16 0.0108265 1522 0.010487 737 0.00772456 157 0.00736487 1497 0.0064463 1370 0.00616333 424 0.00585359 1171 0.00536832 1074 0.00521995
../videos/AHN7CkwL5do.mp4,11 0.991565 32 0.990264 29 0.987008 20 0.977841 22 0.972042 680 0.860863 1402 0.808561 572 0.474091 1096 0.382485 624 0.288834 692 0.275245 112 0.151527 2051 0.141026 2521 0.0566382 122 0.0479363 120 0.0234359 444 0.0192531 564 0.0170195 752 0.0142826 3783 0.0132286
../videos/AI-x_cwEEwo.mp4,11 0.969924 22 0.840132 20 0.638257 32 0.500869 29 0.489981 173 0.310265 477 0.220384 560 0.197781 211 0.176505 528 0.153066 791 0.094406 930 0.0474468 1254 0.0473218 426 0.0358233 564 0.0347765 303 0.0288543 64 0.0260627 892 0.0229969 176 0.0179034 2448 0.017382
../videos/AXbOLpIE254.mp4,813 0.763464 969 0.735888 11 0.561583 903 0.544022 2206 0.4349 829 0.165143 29 0.133457 32 0.0898288 1 0.0420104 406 0.0344594 315 0.0262655 368 0.0260144 2715 0.0255227 64 0.0214919 221 0.0174288 0 0.015128 16 0.00933591 1973 0.00917514 229 0.00646068 2 0.00633355
../videos/A_NmgEKF2_M.mp4,12 0.493748 0 0.166681 1 0.129668 237 0.052223 271 0.0263996 315 0.0116173 2354 0.00968339 16 0.00889097 27 0.00787786 210 0.00743067 259 0.00692652 2 0.00688867 517 0.00616465 438 0.0056977 146 0.00482703 7 0.00446247 226 0.00396991 245 0.00394445 1110 0.00382167 1021 0.00356106
../videos/AaL822gyAGY.mp4,6 0.763687 8 0.490211 414 0.182506 16 0.10281 1 0.0741946 2948 0.0300218 0 0.026441 865 0.0255243 236 0.015321 199 0.0101107 954 0.00937334 69 0.00791193 644 0.00782204 110 0.00602968 150 0.00526639 5 0.00479943 882 0.00393041 478 0.00346527 1147 0.00333816 1008 0.00326883
../videos/AaZhx4OignE.mp4,2 0.983334 7 0.97755 48 0.402736 171 0.297803 213 0.253942 283 0.151653 1692 0.0999437 235 0.0879728 469 0.0806625 17 0.0792878 457 0.0564442 1158 0.052733 1038 0.0463194 2816 0.0322258 1429 0.0299305 841 0.0281063 573 0.0273938 165 0.0228071 198 0.0211362 2075 0.0209498
../videos/AcU34v3dndE.mp4,2 0.0296192 824 0.0289809 8 0.0259954 217 0.0259633 9 0.022824 11 0.0186811 16 0.0146254 26 0.0143906 7 0.0142239 643 0.0139504 105 0.0139279 183 0.0119467 1691 0.01132 1060 0.0102648 1 0.00945567 505 0.00860143 215 0.00857033 0 0.00856546 315 0.00808821 730 0.00756295
../videos/AcxA75BgbA0.mp4,74 0.656083 187 0.57482 1235 0.141066 2612 0.0802666 200 0.0731825 106 0.0656024 1980 0.0436673 703 0.0403335 1 0.035156 131 0.0351003 838 0.0330021 736 0.0303791 1728 0.0289579 617 0.0228109 3614 0.0211858 315 0.016819 496 0.0135435 2 0.012919 0 0.0109188 2272 0.00796466
../videos/AeHxzkoPkoA.mp4,2 0.147247 7 0.119663 400 0.101698 15 0.054636 2305 0.0534768 315 0.030765 11 0.0290853 945 0.0206131 2076 0.0189457 3501 0.0142539 1299 0.0141221 21 0.0110057 1 0.0103519 2957 0.0101876 16 0.0100895 2426 0.00993326 3429 0.00851269 8 0.00756365 18 0.00669643 31 0.0063383
../videos/AgHqhtOLXEk.mp4,21 0.0782403 420 0.0637943 1 0.051841 2 0.0426973 410 0.0346139 23 0.0262103 7 0.024364 275 0.0213924 64 0.0146011 339 0.0134137 512 0.0131538 1806 0.0129716 105 0.0115782 146 0.0106464 433 0.0103162 259 0.010103 26 0.00999609 779 0.00922524 11 0.00919998 15 0.00849434
../videos/AgjT9XYaBCs.mp4,8 0.0949196 641 0.0683973 952 0.0342336 470 0.0279828 242 0.0265711 11 0.0249603 9 0.0214777 1 0.0206384 0 0.0198585 31 0.017217 400 0.0164031 614 0.0157718 2 0.014218 2532 0.0126767 595 0.0094893 16 0.00937558 660 0.00912535 731 0.00895809 5 0.00865245 40 0.00851957
../videos/AhI8xCELmo0.mp4,2 0.263429 7 0.12901 1 0.0231016 146 0.0153471 0 0.0138041 11 0.0131805 21 0.0129029 16 0.0107215 35 0.00930121 115 0.00871965 9 0.00841556 315 0.00740115 8 0.00692324 17 0.00675544 2872 0.0062805 71 0.00469321 2059 0.00466391 133 0.00425717 1767 0.00422255 750 0.00420487
../videos/AiZ6_yM_KYQ.webm,11 0.584651 220 0.479087 276 0.439296 126 0.358508 624 0.335746 112 0.287475 20 0.132456 302 0.088658 32 0.0557462 26 0.0456315 22 0.0359346 29 0.0348562 472 0.0286878 1016 0.0276231 315 0.0175819 1188 0.0169062 221 0.0142553 441 0.0137247 1551 0.00772474 1126 0.00684437
../videos/AoyAT74Ie3I.mp4,25 0.3473 189 0.161047 1 0.0703648 2 0.0228885 7 0.0209748 315 0.0110959 16 0.0104583 645 0.00949222 0 0.00947285 517 0.00754177 1070 0.00737273 1143 0.00686405 1110 0.00636719 183 0.0061683 17 0.00513691 921 0.00480074 707 0.00442238 35 0.00380986 737 0.00373627 105 0.00371646
../videos/AppHN8nrtjo.mp4,25 0.38089 16 0.0576099 315 0.047572 50 0.0391794 256 0.0192689 1 0.0126091 150 0.0116235 194 0.00883715 26 0.00767681 441 0.00616104 3386 0.00519768 391 0.0051145 505 0.00450579 1875 0.00361435 15 0.00354247 1112 0.00348502 65 0.00302481 709 0.0028652 136 0.0027141 734 0.00252497
