VideoId,LabelConfidencePairs
../videos/sDgxBpDF3zc.mp4,11 0.631255 315 0.156621 903 0.0992504 829 0.0938915 969 0.0896174 813 0.0521856 29 0.0282406 20 0.0224988 2318 0.0162242 605 0.0105119 505 0.00969063 22 0.00932398 16 0.00918733 1 0.00872609 1110 0.0086828 3584 0.00859506 2 0.00767442 173 0.0073927 564 0.00729408 122 0.0067785
../videos/sEGKE6H2c8M.mp4,1442 0.462684 11 0.166976 688 0.098397 1625 0.0973277 1264 0.0776882 877 0.0666973 2 0.0573644 315 0.0461525 7 0.0393342 1 0.0347836 1591 0.0295394 146 0.0273062 3384 0.0182865 428 0.016017 64 0.0127078 32 0.00863954 0 0.00762219 60 0.00596684 1918 0.00543391 16 0.00488745
../videos/sGCRam5Xu7k.mp4,184 0.414908 380 0.171506 818 0.109436 416 0.0928452 1152 0.0582263 1 0.0440259 64 0.0368105 2 0.0251946 150 0.025098 364 0.0235335 88 0.0208919 1927 0.0163536 11 0.0146258 616 0.0121264 26 0.0110942 39 0.0107036 149 0.0106064 400 0.00973174 429 0.00881337 16 0.00832062
../videos/sHQenmz-MnI.mp4,8 0.614076 41 0.0429105 16 0.0317681 205 0.0273875 2 0.0253014 315 0.0150502 99 0.0115157 429 0.0113827 7 0.00920314 64 0.0084797 1 0.00598369 259 0.00587538 1296 0.00534342 17 0.00397393 0 0.00340295 577 0.00326581 44 0.00316979 812 0.00290313 11 0.00286366 275 0.00284643
../videos/sIJo2WEgFb0.mp4,315 0.0762237 11 0.0600756 2 0.0371303 16 0.0349696 146 0.030378 7 0.0155366 150 0.0137816 136 0.0126225 71 0.0116335 674 0.0106532 308 0.0102092 1 0.0084969 133 0.00675059 15 0.00634287 50 0.00629665 44 0.00564279 106 0.00519491 505 0.00473194 21 0.00464257 579 0.00446676
../videos/sLUeSbZTjT8.mp4,9 0.360432 7 0.0611209 11 0.0541712 34 0.0527788 2 0.0459935 903 0.0293619 50 0.0215893 17 0.0137624 258 0.0104457 577 0.0100217 15 0.00785167 63 0.00719864 16 0.00695028 272 0.00601249 106 0.00495624 12 0.00484294 150 0.00482533 1 0.00468553 19 0.00453477 21 0.00410813
../videos/sMFSYSsHpzE.mp4,2 0.167975 474 0.104592 64 0.0985776 191 0.0699361 44 0.058839 1 0.0570528 149 0.0521647 146 0.0365242 7 0.0282388 15 0.0243098 0 0.0232516 571 0.020899 465 0.0202117 1918 0.0182407 299 0.0163215 55 0.0162958 119 0.0146742 150 0.0136492 113 0.0127138 289 0.011139
../videos/sPZsi8jgOWc.mp4,25 0.163192 14 0.0745199 146 0.0289638 2 0.0280088 315 0.0246178 11 0.0205406 1 0.0186089 420 0.0120308 595 0.0113286 3431 0.0110098 2947 0.01047 16 0.0100145 7 0.0092415 3630 0.00652243 71 0.00623126 2807 0.00427867 439 0.00396173 375 0.00386716 99 0.00367763 150 0.00347098
../videos/sQvUQ6Q8qdk.mp4,2 0.424256 385 0.212651 1055 0.190869 7 0.0847633 76 0.0756224 419 0.0687454 428 0.0340475 1389 0.0317504 1 0.0296869 1569 0.0207066 2696 0.0194679 60 0.0182004 571 0.0171075 25 0.0136988 11 0.0126052 16 0.00834451 43 0.00816247 64 0.00775491 315 0.0068145 0 0.00672937
../videos/sTYrVkrrBqM.mp4,11 0.574578 1 0.214012 22 0.181338 477 0.147369 173 0.135704 252 0.0959944 20 0.0875452 0 0.0658342 528 0.0394493 1796 0.0286391 1254 0.0280196 1638 0.0217083 29 0.0181716 1098 0.0142152 2 0.0137193 892 0.0113473 88 0.0105148 903 0.0103022 85 0.00889318 36 0.00827985
../videos/sVC2H1Z305k.mp4,25 0.192748 16 0.0387368 1499 0.034465 1 0.0310328 2 0.0111071 8 0.00969842 315 0.00934515 0 0.00934025 2166 0.00787511 133 0.00782752 7 0.00696561 1648 0.00695869 1021 0.00626137 99 0.00626021 3153 0.0056698 11 0.00533673 146 0.00364177 734 0.00288685 1070 0.00270874 595 0.00266752
../videos/sVyIWerzasI.mp4,400 0.371194 1 0.168591 380 0.125252 0 0.116379 184 0.0563737 251 0.0442594 16 0.039303 388 0.0270746 1608 0.0269278 1471 0.0203595 420 0.0116412 641 0.0102827 438 0.00833819 88 0.00778628 2 0.00681306 26 0.00674617 861 0.0055887 150 0.00531229 127 0.00448915 2076 0.00447759
../videos/sYd9jK3k12o.mp4,15 0.220967 18 0.209961 11 0.149042 67 0.128213 26 0.0816621 2700 0.0728598 315 0.0704576 181 0.0266656 8 0.0175775 2 0.0149762 216 0.0144419 140 0.0140369 64 0.0108278 7 0.00946175 307 0.00939813 277 0.00927667 641 0.00872103 149 0.00835346 400 0.00799811 2725 0.00650693
../videos/sZRx-rjW6GQ.mp4,11 0.431198 20 0.276434 29 0.253576 22 0.236015 315 0.126561 32 0.0599282 406 0.0241166 3339 0.022138 505 0.019844 1 0.0174751 1691 0.0106346 122 0.00989563 25 0.00877514 307 0.00768843 319 0.00680971 16 0.00559751 1489 0.00557865 150 0.00556981 753 0.00499469 3433 0.00423475
../videos/s_4UP8wDAVk.mp4,652 0.826916 763 0.564651 1584 0.46427 341 0.409474 1241 0.24157 62 0.117844 315 0.077161 26 0.0222891 203 0.0104961 146 0.00953307 1 0.00949401 2 0.00822486 8 0.00778677 731 0.00701255 16 0.00688501 7 0.00485189 520 0.00468738 158 0.00437369 505 0.00427304 25 0.00381579
../videos/sa3xsvZVYoc.mp4,652 0.280223 1584 0.258869 763 0.123731 2 0.0842307 7 0.068017 505 0.0462833 315 0.0446477 341 0.0252597 11 0.0244117 18 0.0224537 170 0.0211575 514 0.0209003 1241 0.0150181 1148 0.0125396 50 0.0109987 15 0.0102114 1443 0.00865053 26 0.00724789 511 0.00530189 17 0.00476286
../videos/sa4Ug2WZPnM.mp4,21 0.770919 23 0.634887 24 0.560685 115 0.215098 73 0.155254 315 0.0302219 8 0.0275314 2301 0.0203016 651 0.0166374 0 0.0106583 520 0.0100813 471 0.00917286 1 0.00894769 775 0.0087907 15 0.00813663 1180 0.00778797 1321 0.00753008 11 0.00679412 18 0.00522666 26 0.00501141
../videos/sggyk5ZfqLw.mp4,2 0.670532 7 0.606872 48 0.424634 283 0.222173 457 0.163211 2127 0.075311 213 0.0749174 1429 0.0727511 1382 0.0663041 1774 0.0648169 235 0.0588407 3419 0.0541489 3545 0.0457846 3385 0.03925 1723 0.0388324 171 0.0374979 573 0.0374677 2310 0.029849 258 0.0289562 469 0.0263147
../videos/sgrZnVNQmDk.mp4,2 0.986619 7 0.97811 198 0.428851 283 0.373567 2253 0.262067 1158 0.149709 1038 0.143628 235 0.0681303 2791 0.0501663 563 0.0446684 197 0.0425539 116 0.0398954 3027 0.0384663 165 0.0314513 104 0.0275579 316 0.0264758 531 0.0259153 171 0.0238937 457 0.0237664 1436 0.019287
../videos/shUAVia_cFs.mp4,5 0.961792 16 0.520518 1 0.125974 0 0.0763921 1082 0.0490367 929 0.0254223 315 0.0229607 81 0.0216988 150 0.00877832 144 0.00693872 203 0.00626437 613 0.00547726 27 0.00360482 1701 0.00352706 973 0.00322116 755 0.00318609 339 0.00315711 190 0.00272602 292 0.0026615 2273 0.00229761
../videos/shWpFFJCHHE.mp4,1 0.985625 0 0.952478 629 0.136948 617 0.072676 74 0.0508555 2333 0.0452192 275 0.043282 36 0.0403178 887 0.0319328 124 0.026009 19 0.0251634 153 0.0248577 105 0.0150145 150 0.0129929 317 0.0122551 183 0.0119608 2179 0.0108244 94 0.00984383 245 0.00861287 403 0.007205
../videos/si7hZoBjEzg.mp4,282 0.127237 16 0.0363778 1338 0.0236272 1326 0.0170047 612 0.0161953 660 0.0157671 337 0.0157201 595 0.0146245 1095 0.0135774 1362 0.0126805 517 0.0124743 1 0.0101847 866 0.00986289 755 0.0098509 471 0.00877938 11 0.00805185 1544 0.00796787 5 0.00760535 1023 0.00741366 23 0.00706747
../videos/sji9APazT_g.mp4,2 0.17854 7 0.0897708 11 0.0487872 16 0.0274677 43 0.0241085 315 0.0201351 297 0.0165312 15 0.016389 1014 0.0126767 1 0.0124781 136 0.0115917 30 0.011404 742 0.0104588 248 0.0101331 353 0.00962026 8 0.00806998 17 0.00775792 1023 0.00702061 25 0.00697341 64 0.00681069
../videos/skkFz2znWH0.mp4,434 0.0652587 11 0.0575443 1346 0.0556038 2 0.0514506 26 0.0503602 7 0.0476904 315 0.0374421 15 0.0291871 992 0.0202159 146 0.0192942 672 0.0185782 8 0.0128267 1 0.0109993 64 0.0102358 750 0.00936636 16 0.00880378 149 0.00769583 17 0.0065826 217 0.00597846 364 0.00592593
../videos/slR_1kJ0oGs.mp4,18 0.831103 67 0.812661 15 0.762745 1711 0.405405 140 0.336471 1 0.0794123 0 0.0317768 1831 0.0288833 699 0.0250986 1522 0.0103143 2088 0.00760648 105 0.00578179 1250 0.00467332 2 0.00458257 170 0.00400699 2248 0.00395973 99 0.0037879 19 0.00377891 315 0.00373932 7 0.00359731
